#Time(s),Rough(C),Polished(C),Lacquered(C),Rough(K),Polished(K),Lacquered(K)
0,87,89,86.5,360.15,362.15,359.65
60,85,87,84,358.15,360.15,357.15
120,82.5,85.5,81,355.65,358.65,354.15
180,80,83.6,77.5,353.15,356.75,350.65
240,77,81.2,74.5,350.15,354.35,347.65
300,74.5,79,72,347.65,352.15,345.15
360,72.2,77,69,345.35,350.15,342.15
420,70.1,75.5,66.3,343.25,348.65,339.45
480,68,73.5,64,341.15,346.65,337.15
540,66,72,61.8,339.15,345.15,334.95
600,64,70,59.5,337.15,343.15,332.65
660,62,68.5,57.8,335.15,341.65,330.95
720,60,67,55.5,333.15,340.15,328.65
780,58.5,65.5,54,331.65,338.65,327.15
840,57,64,52.5,330.15,337.15,325.65
900,55,62.9,50.9,328.15,336.05,324.05
960,53.8,61.5,49.1,326.95,334.65,322.25
1020,52.3,60.1,48,325.45,333.25,321.15
1080,51,59,46.9,324.15,332.15,320.05
1140,50,58,45.4,323.15,331.15,318.55
1200,49,56.5,44,322.15,329.65,317.15
1260,48,55.5,43.1,321.15,328.65,316.25
1320,46.5,54.5,42,319.65,327.65,315.15
1380,45.8,53.4,41.1,318.95,326.55,314.25
1440,44.9,52.5,40,318.05,325.65,313.15
1500,44,51.5,39.3,317.15,324.65,312.45
1560,43,50.5,38.5,316.15,323.65,311.65
1620,42,49.9,37.9,315.15,323.05,311.05
1680,41.5,49,37,314.65,322.15,310.15
1740,40.8,48,36.5,313.95,321.15,309.65
1800,40,47.1,35.8,313.15,320.25,308.95
1860,39.2,46.6,35.1,312.35,319.75,308.25
1920,38.9,46,34.5,312.05,319.15,307.65
1980,38,45,34,311.15,318.15,307.15
2040,37.5,44.1,33.5,310.65,317.25,306.65
2100,37,43.6,33,310.15,316.75,306.15
2160,36.5,43,32.7,309.65,316.15,305.85
2220,35.9,42.4,32,309.05,315.55,305.15
2280,35.5,42,31.8,308.65,315.15,304.95
2340,35,41.2,31.2,308.15,314.35,304.35
2400,34.6,40.6,30.9,307.75,313.75,304.05
2460,34,40,30.5,307.15,313.15,303.65
2520,33.5,39.5,30.1,306.65,312.65,303.25
2580,33,39,30,306.15,312.15,303.15
2640,32.9,38.5,29.6,306.05,311.65,302.75
2700,32.1,38,29,305.25,311.15,302.15
2760,32,37.5,28.9,305.15,310.65,302.05
2820,31.5,37,28.7,304.65,310.15,301.85
2880,31.2,36.6,28.5,304.35,309.75,301.65
2940,31,36,28,304.15,309.15,301.15
3000,30.6,35.7,27.9,303.75,308.85,301.05
